ID,Course,GPA
56113210116,C语言程序设计,3.5
56113210116,JAVA应用开发,3.3
56113210116,OpenGL图形编程,4.25
56113210116,操作系统,3.75
56113210116,计算机离散结构,4.45
56113210116,计算机图形学,3.4
56113210116,计算机网络原理,4.65
56113210116,计算机游戏基础,3.8
56113210116,计算机组成原理,3.85
56113210116,可视化程序设计,4.5
56113210116,面向对象程序设计,4.25
56113210116,人工智能,1.05
56113210116,数据结构,4.35
56113210116,数据库原理,3.25
56113210116,数字逻辑,3.55
56113210116,数字图像处理,3.8
56113210116,移动平台软件开发,3.25
56113210205,C语言程序设计,3.9
56113210205,RFID原理与应用,4.25
56113210205,Web应用开发,4.75
56113210205,操作系统,3.1
56113210205,传感器技术,3.8
56113210205,计算机离散结构,4.35
56113210205,计算机网络原理,3.65
56113210205,计算机组成原理,3.6
56113210205,面向对象程序设计,3.95
56113210205,嵌入式系统原理,3
56113210205,数据结构,4.05
56113210205,数据库原理,4.5
56113210205,数字逻辑,3.55
56113220223,.net应用开发,4.05
56113220223,C语言程序设计,4.8
56113220223,Linux系统编程,4.35
56113220223,Web应用开发,4.1
56113220223,XML技术,3.7
56113220223,编译原理,3.35
56113220223,操作系统,3.4
56113220223,计算机网络原理,3.25
56113220223,计算机组成原理,3.85
56113220223,面向对象程序设计,4.65
56113220223,软件测试技术,3.85
56113220223,软件工程,4.75
56113220223,数据结构,3.95
56113220223,数据库管理技术,4.8
56113220223,数据库原理,4.55
56113220223,数字逻辑,4
56113220223,算法设计与分析,4.95
56113220223,统一建模语言,3.8
56113280207,.net应用开发,4
56113280207,C语言程序设计,3.45
56113280207,Linux系统编程,3.6
56113280207,Python语言程序设计,3
56113280207,Web应用开发,3.4
56113280207,XML技术,4.9
56113280207,编译原理,3.3
56113280207,操作系统,4
56113280207,机器学习,4.05
56113280207,计算机网络原理,3.55
56113280207,计算机组成原理,3.75
56113280207,面向对象程序设计,3.65
56113280207,软件测试技术,3.7
56113280207,软件工程,3.75
56113280207,数据结构,3.75
56113280207,数据库管理技术,3.7
56113280207,数据库原理,3.7
56113280207,数字逻辑,3.05
56113280207,算法设计与分析,3.75
56113280207,统一建模语言,4.1
56113280207,云计算与大数据应用,4.4
56113280211,.net应用开发,4
56113280211,C语言程序设计,4.45
56113280211,Linux系统编程,3.45
56113280211,Python语言程序设计,4.15
56113280211,Web应用开发,3.65
56113280211,XML技术,3.7
56113280211,编译原理,3.8
56113280211,操作系统,4.2
56113280211,计算机网络原理,3.75
56113280211,计算机组成原理,3.9
